Estacion,Fecha inicial,Año,Mes,Día,NO,VViento,O3,DViento,PLiquida,HAire10,CO,NO2,P,PM2.5,SO2,PM10,TAire10,RGlobal
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-27,2022,12,27,18.63329167,1.84166667,31.93333333,235.6208333,,74.225,486.3519583,31.00491667,677.9583333,16.5375,,33.90833333,23.0375,120.1458333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-26,2022,12,26,15.13833333,1.5875,25.21666667,202.4208333,,71.04166667,556.251875,34.212625,677.0208333,14.87083333,,34.725,22.89166667,109.6
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-25,2022,12,25,10.17975,1.6875,30.2875,235.9916667,,67.80416667,534.851,25.72520833,676.4166667,20.58333333,,34.975,23.34583333,154.3333333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-24,2022,12,24,18.343875,1.76666667,25.9625,213.45,,68.20833333,795.7963333,33.832625,676.5875,18.08333333,,38.75,23.825,149.8125
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-23,2022,12,23,19.69816667,1.74583333,33.37083333,201.9125,,70.22916667,657.9640833,34.667625,676.8333333,17.125,,38.38333333,24.25833333,151.8666667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-22,2022,12,22,16.6165,1.7375,33.14583333,224.9458333,,72.2625,627.5360417,31.957,676.85,17.28333333,,38.44583333,24.30416667,143.0125
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-21,2022,12,21,20.58604167,1.7,32.15416667,225.3875,,72.075,661.6974167,35.69416667,677.0875,16.85833333,,40.06666667,24.17083333,150.9916667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-20,2022,12,20,18.40191667,1.8125,25.45833333,209.925,,73.87083333,632.6944583,32.29441667,677.3458333,15.2625,,33.65416667,23.3,109.7958333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-19,2022,12,19,13.705125,1.87916667,28.93333333,210.4541667,,76.06666667,469.7911667,27.77483333,677.3833333,14.1625,,31.62916667,23.25833333,128.1916667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-18,2022,12,18,11.46608333,1.51666667,23.81666667,216.7708333,,78.36666667,379.370875,25.28879167,676.5166667,13.125,,26.57083333,22.95416667,98.1125
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-17,2022,12,17,22.54383333,1.93333333,28.325,229.6541667,,73.80833333,562.005625,30.25,675.4166667,13.96666667,,33.99583333,23.9,134.625
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-16,2022,12,16,19.39408333,1.63333333,26.6375,210.1208333,,71.80833333,572.965875,31.50916667,675.9458333,11.42916667,,26.80833333,23.98333333,138.6458333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-15,2022,12,15,22.34679167,1.72083333,23.725,197.2291667,,74.925,499.2783333,28.6405,676.7,11.28333333,,24.41666667,23.55833333,126.3708333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-14,2022,12,14,22.33591667,1.45416667,18.19583333,201.2708333,,76.4125,521.319625,27.01695833,676.7125,10.77083333,,25.42083333,22.84583333,118.725
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-13,2022,12,13,16.19779167,1.55416667,20.04583333,203.5083333,,80.9,469.6308333,25.82866667,676.8041667,10.44166667,,21.58333333,22.84166667,117.1291667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-12,2022,12,12,23.37378947,1.74583333,22.67916667,221.1916667,,80.08333333,474.1806667,28.42010526,677.0791667,12.16666667,,24.7,22.76666667,115.7
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-11,2022,12,11,12.25620833,1.4875,24.55714286,200.6083333,,82.18333333,400.5960417,27.406125,677.3583333,9.4375,,19.43333333,22.4125,92.85416667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-10,2022,12,10,10.91191667,1.84166667,26.78333333,210.85,,80.42916667,365.8615833,31.006125,677.3583333,9.35416667,,22.02916667,22.65,119.1458333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-09,2022,12,9,16.23681818,1.76666667,12.74210526,243.3041667,,78.275,891.9816818,35.83486364,676.6708333,8.21666667,,21.4125,22.05833333,105.2208333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-08,2022,12,8,20.37591667,1.9,24.94166667,248.9083333,,74.72083333,1051.286083,28.55866667,677.1458333,7.22916667,,18.87916667,21.82083333,138.8166667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-07,2022,12,7,19.66258333,1.92083333,22.95416667,186.1,,77.78333333,1227.246125,33.1445,677.825,6.13333333,,15.19583333,22,106.0416667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-06,2022,12,6,13.43920833,1.9875,24.00833333,246.8791667,,79.02916667,972.06525,28.85554167,677.1166667,6.77916667,,17.04583333,22.6375,130.7666667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-05,2022,12,5,13.16545833,1.8375,23.5,188.2625,,79.3875,1014.485042,29.03558333,676.5583333,6.475,,17.96666667,22.15,128.1458333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-04,2022,12,4,14.296125,1.6375,19.68333333,196.2916667,,80.00416667,977.0141667,27.026375,676.425,9.14583333,,18.925,22.07916667,89.65416667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-03,2022,12,3,19.68016667,1.80416667,22.725,208.475,,75.6125,1040.772542,31.00254167,676.95,9.35416667,,22.02916667,22.4125,149.1291667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-02,2022,12,2,22.03991667,1.8875,19.52916667,234.1708333,,77.65,1154.231667,33.45020833,676.5,8.21666667,,21.4125,22.37916667,129.1875
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-01,2022,12,1,18.051,1.65833333,13.59545455,216.325,,80.69166667,1028.2415,30.22933333,676.4625,7.22916667,0.84444444,18.87916667,21.74166667,59.69166667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-30,2022,11,30,14.25858333,2.0125,18.08333333,228.7625,,81.29166667,926.9452083,23.92645833,676.7041667,6.13333333,0.95833333,15.19583333,22.2,107.25
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-29,2022,11,29,15.48891667,1.89166667,19.3875,214.45,,82.975,1015.8575,25.67770833,676.7208333,6.77916667,1.24583333,17.04583333,22.05416667,95.68333333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-28,2022,11,28,16.01966667,1.46666667,17.69166667,231.8166667,,84.13333333,1029.74175,24.039375,677.0958333,6.475,1.30416667,17.96666667,22.0125,91.70833333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-27,2022,11,27,17.528875,1.58333333,19.0826087,198.975,,84.82083333,948.0180833,19.37478261,677.8,8.3,1.10833333,19.14583333,21.67916667,94.425
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-26,2022,11,26,17.62785714,1.36666667,16.97916667,203.1375,,86.55416667,1068.107542,26.29919048,678.1291667,8.5625,0.97916667,19.07083333,22.12916667,77.75
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-25,2022,11,25,15.10359091,1.93333333,20.44166667,221.1541667,,82.275,963.9229583,26.00363636,677.1875,8.14583333,1.26666667,18.72916667,22.91666667,120.2916667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-24,2022,11,24,15.2783125,1.59583333,17.93684211,153.9833333,,77.72083333,947.54035,24.4178125,677.0708333,8.17916667,0.75714286,19.16666667,23.18333333,106.2
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-23,2022,11,23,19.89825,1.62083333,23.69565217,170.85,,77.71666667,935.7769583,24.63779167,677.0583333,9.0125,1.27916667,22.425,22.9125,114.9291667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-22,2022,11,22,14.03854167,1.90833333,19.4875,165.6041667,,82.54166667,886.7692917,24.05583333,676.8791667,6.56666667,1.30833333,15.05,23.14583333,111.1166667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-21,2022,11,21,16.53658333,1.8125,17.66666667,191.2125,,84.12916667,933.6681667,23.875375,676.5375,5.8375,0.6875,14.93333333,22.77083333,109.5083333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-20,2022,11,20,20.897,1.65,22.075,173.4875,,79.6375,854.6129583,20.48091667,676.0166667,6.57083333,0.97083333,17.65,23.17916667,137.8416667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-19,2022,11,19,20.22366667,1.575,19.15,132.325,,77.26666667,959.2670417,22.45666667,676.35,6.22083333,1.45416667,17.35,23.20416667,125.9208333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-18,2022,11,18,40.534375,1.37916667,9.18333333,179.1125,,88.59583333,1306.377,22.6825625,677.5291667,8.2375,0.81111111,23.90833333,21.07083333,43.69166667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-17,2022,11,17,31.39841667,1.32083333,16.17083333,188.4958333,,82.68333333,1403.817125,27.87820833,677.0166667,9.63333333,1.3375,24.6375,22.575,85.325
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-16,2022,11,16,23.57695833,1.69583333,18.5625,206.45,,77.65,1037.430083,23.24954167,677.4625,7.85,1.50416667,21.4,23.90833333,127.9958333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-15,2022,11,15,15.86720833,1.61666667,21.2625,166.5416667,,80.35416667,1019.580625,22.0975,677.1958333,5.86666667,1.1,16.7625,23.60833333,104.6333333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-14,2022,11,14,6.62408333,1.97083333,23.95833333,191.9666667,,81.70833333,566.9094167,15.878625,677.1208333,5.12916667,1.22083333,11.84166667,23.17083333,128.925
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-13,2022,11,13,11.63441667,1.75416667,21.86666667,208.9791667,,81.72083333,699.4730833,15.759875,677.2958333,4.3375,1.025,11.22083333,22.64166667,147.0416667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-12,2022,11,12,16.73466667,1.75,18.775,179.9833333,,85.70833333,980.8074167,22.65183333,677.5,6.41666667,1.4,14.775,21.62916667,106.8708333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-11,2022,11,11,22.52141667,1.52916667,13.40416667,177.375,,87.2625,1097.944875,22.82333333,677.9458333,7.22083333,0.775,19.7125,21.16666667,92.04583333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-10,2022,11,10,20.535625,1.32916667,20.47916667,190.7833333,,85.125,1280.474833,24.352,678.5041667,6.57083333,1.6,16.9875,21.69166667,85.25833333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-09,2022,11,9,13.85079167,1.90833333,21.04583333,232.1166667,,79.475,823.8768333,21.310125,678.3833333,6.24583333,1.7125,16.84166667,22.7625,133.175
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-08,2022,11,8,11.62879167,1.95416667,22.14166667,204.9041667,,81.625,826.174875,19.888375,678.5583333,4.50416667,1,11.8875,22.50833333,118.0875
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-07,2022,11,7,8.93452381,2.04166667,22.36666667,193.2125,,79.9625,585.2766087,12.96152381,677.9833333,4.90833333,1.40833333,12.21666667,22.51666667,122.1166667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-06,2022,11,6,9.68120833,1.83333333,19.5125,175.9958333,,82.00416667,622.1922917,16.82133333,677.7708333,5,1.53333333,11.86666667,22.51666667,131.8875
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-05,2022,11,5,11.40933333,1.6,17.2125,195.5416667,,84.01666667,1012.381318,21.08216667,677.6166667,6.2,0.79444444,15.20416667,22.50416667,84.62916667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-04,2022,11,4,14.84816667,1.95,12.32727273,231.075,,79.97916667,1070.580542,25.17679167,677.6333333,7.29166667,1.19166667,16.625,23.42083333,128.4791667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-03,2022,11,3,25.202375,1.54583333,18.53043478,167.7666667,,81.73333333,1233.737542,25.87791667,677.5083333,11.04583333,,23.675,23.02916667,120.3083333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-02,2022,11,2,23.20429167,1.46666667,22.87083333,223.6,,79.925,1025.221125,26.32870833,677.9625,10.95833333,,25.02083333,22.79583333,103.8416667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-11-01,2022,11,1,14.30778947,1.7625,24.7625,168.0333333,,71.8875,1050.840333,26.61952632,677.7875,10.825,,27.87916667,23.38333333,147.6541667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-31,2022,10,31,18.388,1.6375,25.16666667,173.9541667,0.3,72.39166667,1254.410667,30.30476471,677.1375,10.23333333,,27.72083333,22.40416667,146.4791667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-10-30,2022,10,30,22.65291667,1.725,22.72916667,162.1833333,0.05,72.925,894.0204583,25.2565,677.2958333,6.68333333,,17.72083333,21.69166667,155.075
