Station,Date,Year,Month,Day,NO,VWind,O3,DWind,PLiquid,HAir10,CO,NO2,P,PM2.5,SO2,RGlobal,TAir10,PM10
CLUB UNIÓN,2022-06-10,2022,6,10,,1.54166667,9.0375,186.6375,0,78.5,903.7041667,,679.8416667,12.42083333,0.44166667,161.0208333,23.225,22.58333333
CLUB UNIÓN,2022-06-09,2022,6,9,,1.47083333,7.5875,204.8958333,0,82.35833333,810.0166667,,680.5958333,8.53333333,1.15,100.7708333,22.6,15.72083333
CLUB UNIÓN,2022-06-08,2022,6,8,,1.53333333,9.13333333,191.7916667,0.025,80.975,681.2791667,,680.675,7.82083333,1.91666667,139.5666667,22.49166667,14.19583333
CLUB UNIÓN,2022-06-07,2022,6,7,,1.825,7.85,251.9958333,0,80.63333333,721.2458333,,680.5416667,7.15833333,1.82916667,196.6458333,22.3875,14.65
CLUB UNIÓN,2022-06-06,2022,6,6,,1.2375,7.67916667,196.7333333,0,77.56666667,950.4625,,680.0916667,6.94583333,0.50833333,145.5958333,23.15,15.17083333
CLUB UNIÓN,2022-06-05,2022,6,5,,1.05416667,4.1,200.4333333,0.03333333,81.0125,855.0208333,,680.45,9.96666667,1.21666667,114.9416667,22.39583333,15.9875
CLUB UNIÓN,2022-06-04,2022,6,4,,1.15,7.91578947,198.2791667,0.3,81.20416667,919.275,,680.8291667,7.47083333,0.9375,109.3708333,22.09583333,12.50416667
CLUB UNIÓN,2022-06-03,2022,6,3,,1.3875,4.92272727,197.8041667,0.05833333,79.35,990.6875,,681.2625,7.89583333,0.51052632,118.6958333,22.5125,14.75416667
CLUB UNIÓN,2022-06-02,2022,6,2,,1.69583333,7.92608696,208.8416667,0.41666667,77.62083333,804.5086957,,680.5708333,7.27083333,,191.8375,23.2375,14.34583333
CLUB UNIÓN,2022-06-01,2022,6,1,,1.54166667,4.29583333,182.7333333,0,75.0125,789.1333333,,679.6083333,7.00833333,,194.7583333,24.04583333,14.51666667
CLUB UNIÓN,2022-05-31,2022,5,31,,1.54166667,1.2125,219.175,0,79.7,813.2125,,680.025,6.5375,0.275,138.475,23.11666667,13.41666667
CLUB UNIÓN,2022-05-30,2022,5,30,,1.47083333,1.71666667,215.6833333,0,77.275,747.5125,,679.325,7.62916667,0.4,164.6958333,23.9125,14.39583333
