Station,Date,Year,Month,Day,P,VWind,O3,DWind,PLiquid,PM2.5,PM10,RGlobal,SO2 TR,HAir10,TAir10
HOSPITAL DEL NORTE,2022-07-05,2022,7,5,695.2083333,2.14166667,,206.1291667,0.75416667,5.75833333,13.61666667,201.5166667,1.1125,80.525,24.075
HOSPITAL DEL NORTE,2022-07-04,2022,7,4,695.2,1.65,,197.1791667,0,7.23333333,15.6,103.7458333,0.59583333,82.41666667,24.175
HOSPITAL DEL NORTE,2022-07-03,2022,7,3,694.9125,1.7875,,238.1041667,0.125,7.3,14.03333333,160.6166667,1.425,80.6625,24.62916667
HOSPITAL DEL NORTE,2022-07-02,2022,7,2,694.5583333,1.87916667,,204.7625,0,5.8375,13.59166667,214.7791667,1.19166667,80.31666667,24.3
HOSPITAL DEL NORTE,2022-07-01,2022,7,1,694.5375,1.69166667,,200.8208333,0.25416667,6.41666667,16.42916667,160.3166667,1.27083333,85.07083333,23.45416667
HOSPITAL DEL NORTE,2022-06-30,2022,6,30,694.8565217,1.93043478,,176.626087,0.10434783,5.43478261,14.9826087,186.626087,1.24782609,80.34782609,23.92608696
HOSPITAL DEL NORTE,2022-06-29,2022,6,29,696.3791667,1.55416667,,176.3583333,0.04166667,6.26666667,16.8375,106.7833333,1.52916667,86.83333333,22.35
HOSPITAL DEL NORTE,2022-06-28,2022,6,28,696.675,2.02083333,,196.8666667,0.05833333,5.37916667,15.55,182.6875,0.82083333,82.49166667,23.04583333
HOSPITAL DEL NORTE,2022-06-27,2022,6,27,696.4166667,1.8125,,197.3708333,0,4.41666667,11.97916667,151.5708333,0.92916667,82.52083333,22.75
HOSPITAL DEL NORTE,2022-06-26,2022,6,26,696.3916667,1.72916667,,185.7541667,0.19166667,4.72083333,10.59583333,135.4625,0.70416667,83.57083333,22.9375
HOSPITAL DEL NORTE,2022-06-25,2022,6,25,695.6291667,1.575,,230.2583333,0.34166667,8.50416667,17.37916667,124.4791667,1.80833333,88,22.85
HOSPITAL DEL NORTE,2022-06-24,2022,6,24,694.95,1.69583333,,214.5,0.10833333,6.65833333,14.85833333,110.7875,2.2375,84.33333333,23.38333333
