Estacion,Fecha inicial,Año,Mes,Día,P,VViento,O3,DViento,PLiquida,PM2.5,PM10,RGlobal,SO2 TR,HAire10,TAire10
COLEGIO GAITÁN,2022-07-01,2022,7,1,683.8958333,1.525,19.33333333,198.4083333,0.40833333,6.9625,14.67083333,164.5875,3.46111111,87.24166667,22.8
COLEGIO GAITÁN,2022-06-30,2022,6,30,684.226087,1.46956522,20.16956522,249.5391304,0.1826087,6.4173913,14.18695652,195.5173913,,81.83478261,23.44782609
COLEGIO GAITÁN,2022-06-29,2022,6,29,685.1375,1.5,12.4875,137.6875,0.00833333,6.74166667,17.3375,16.9875,,87.8125,22.0875
COLEGIO GAITÁN,2022-06-28,2022,6,28,686,1.31176471,21.6625,284.0470588,0,5.29130435,12.86956522,239.4,,82.55882353,22.85294118
COLEGIO GAITÁN,2022-06-27,2022,6,27,685.7041667,1.56666667,24.45833333,242.075,0.01666667,2.87083333,7.44166667,195.6416667,,83.15,22.13333333
COLEGIO GAITÁN,2022-06-26,2022,6,26,685.6833333,1.46666667,25.37916667,202.0416667,0.45833333,3.28333333,7.50416667,130.6791667,,85.9125,22.0125
COLEGIO GAITÁN,2022-06-25,2022,6,25,684.9666667,1.24583333,19.71666667,253.4416667,0.16666667,10.24583333,17.46666667,106.2666667,,90.66666667,22.05
COLEGIO GAITÁN,2022-06-24,2022,6,24,684.2916667,1.31666667,20.72916667,216.7291667,0.13333333,6.50833333,13.675,103.0583333,,88.11666667,22.47083333
COLEGIO GAITÁN,2022-06-23,2022,6,23,683.1625,1.65,23.99583333,247.2208333,0.05833333,7.95,15.5625,189.5375,2.475,84.45,23.57916667
COLEGIO GAITÁN,2022-06-22,2022,6,22,683.675,1.58333333,24.50416667,234.7875,0,7.77916667,15.60416667,241.275,2.20416667,82.0375,23.8
COLEGIO GAITÁN,2022-06-21,2022,6,21,684.7916667,1.35416667,14.90416667,209.3208333,0.025,8.62916667,19.14166667,153.2708333,2.25,88.06666667,22.4
